symbol,yahoo_symbol,security,gics_sector,gics_sub_industry,headquarters_location,date_added,cik,founded,status,file_path,row_count,date_min,date_max,sha256,error
ADBE,ADBE,Adobe Inc.,,,,,,,ok,data\raw_equities\nasdaq100_constituents\ADBE.csv,5346,2005-01-03,2026-04-02,6f91ec26e13c6065078b4636f31704bd8de5be8002f99867fc0854df2ea3b39e,
AMD,AMD,Advanced Micro Devices,,,,,,,ok,data\raw_equities\nasdaq100_constituents\AMD.csv,5346,2005-01-03,2026-04-02,ef62c1c80290d9b88a6c33e0980777483b90356690f69ac1132bed18518f860f,
ABNB,ABNB,Airbnb,,,,,,,ok,data\raw_equities\nasdaq100_constituents\ABNB.csv,1333,2020-12-10,2026-04-02,9ccf9546d7b1d167b839750bf4135af37560efd44bbe84e4ea2ba1c2f7bbff22,
ALNY,ALNY,Alnylam Pharmaceuticals,,,,,,,ok,data\raw_equities\nasdaq100_constituents\ALNY.csv,5346,2005-01-03,2026-04-02,c2291ec0bf9f177303d344eb549cb771c5488ad91c04b1fd4c9e945be2fdde03,
GOOGL,GOOGL,Alphabet Inc. (Class A),,,,,,,ok,data\raw_equities\nasdaq100_constituents\GOOGL.csv,5346,2005-01-03,2026-04-02,d02e5298f380e9079778b72f602fe0060814add54e078f28eb8529bfd467176d,
GOOG,GOOG,Alphabet Inc. (Class C),,,,,,,ok,data\raw_equities\nasdaq100_constituents\GOOG.csv,5346,2005-01-03,2026-04-02,2be5bbe9174e3bf1559d7e68789c44de18d32a6854ae0df21225b13b966bb282,
AMZN,AMZN,Amazon,,,,,,,ok,data\raw_equities\nasdaq100_constituents\AMZN.csv,5346,2005-01-03,2026-04-02,896bbd4359df66a3050f077c04002f6bfcf199d3ca75baeeada3aeae6db25988,
AEP,AEP,American Electric Power,,,,,,,ok,data\raw_equities\nasdaq100_constituents\AEP.csv,5346,2005-01-03,2026-04-02,7e0a5df7de4d947605ace252d53583ff59ce4113a1244e5d72a829e1fd34030d,
AMGN,AMGN,Amgen,,,,,,,ok,data\raw_equities\nasdaq100_constituents\AMGN.csv,5346,2005-01-03,2026-04-02,a95d328a657ae41a8a153d52bc1f5a16f79276ab9d9f7410b7be539460187dc4,
ADI,ADI,Analog Devices,,,,,,,ok,data\raw_equities\nasdaq100_constituents\ADI.csv,5346,2005-01-03,2026-04-02,72e92cc4087f9d48ea32d0b14d7a528fa8e4416e15e09b9a822be11b37ed010d,
