symbol,yahoo_symbol,security,gics_sector,gics_sub_industry,headquarters_location,date_added,cik,founded,status,file_path,row_count,date_min,date_max,sha256,error
MMM,MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740,1902,ok,data\raw_equities\sp500_constituents\MMM.csv,5351,2005-01-03,2026-04-10,8a715de7dfe8b660c56f1471919af6d94fa56c50b21a303a1fd721f066797ecd,
AOS,AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916,ok,data\raw_equities\sp500_constituents\AOS.csv,5351,2005-01-03,2026-04-10,2017d2a221c5a304d37a8d42af5775e6633ab8e27e6e668f1fd071d957f0c42d,
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888,ok,data\raw_equities\sp500_constituents\ABT.csv,5351,2005-01-03,2026-04-10,fb6bfc717c9355b2bc8853b614b2e6a337a597a17201e1102a2185c1b3198644,
ABBV,ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),ok,data\raw_equities\sp500_constituents\ABBV.csv,3338,2013-01-02,2026-04-10,3fcff9fed28ee48cc9268e0630022120310047ecdf20f91bf018b05a3bb3ad1e,
ACN,ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,ok,data\raw_equities\sp500_constituents\ACN.csv,5351,2005-01-03,2026-04-10,4abcb58e75839aa84e50ebe3591f6be7d705c2c7489b12afa2b6cd467dfc1577,
ADBE,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,ok,data\raw_equities\sp500_constituents\ADBE.csv,5351,2005-01-03,2026-04-10,6ec7ac4ec628b038d05fd94214ee561007a17846a8266bf907ed5f01c3878fd3,
AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969,ok,data\raw_equities\sp500_constituents\AMD.csv,5351,2005-01-03,2026-04-10,1707ef7551e03c8de2075d14dab32c2ad8042d5763c196c75dbfc43f83dbfead,
AES,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981,ok,data\raw_equities\sp500_constituents\AES.csv,5351,2005-01-03,2026-04-10,5e87c3b7ef80f251d8a7474c62de32c32499c0dfc68842a97725fac9d0409e89,
AFL,AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955,ok,data\raw_equities\sp500_constituents\AFL.csv,5351,2005-01-03,2026-04-10,21b98e61e5f74ff982d36eb771ff2dcf227c4f8a69f1adb048410eb7334b705c,
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999,ok,data\raw_equities\sp500_constituents\A.csv,5351,2005-01-03,2026-04-10,fefe5e85e21c414b58bc17c0257f5a1298aa43e71129b02db005e4399bf62cf8,
APD,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940,ok,data\raw_equities\sp500_constituents\APD.csv,5351,2005-01-03,2026-04-10,76ce144dd75f61ed86b4e99b13f5501336e1f991749ed40ef0251cec1ab6cf89,
