model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
PatchTST,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.010767261497676373,0.0077390824444592,0.5246031746031746,0.9529579080371009,5286,8,64,1260,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
LSTM,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.010815607383847237,0.007651901338249445,0.5166666666666667,-0.013107820297293106,5286,8,64,1260,18.8,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.010911372490227222,0.007748451549559832,0.5261904761904762,0.2610254479098912,5286,24,64,1260,19.2,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.010919232852756977,0.00783594697713852,0.5166666666666667,0.201594456133625,5286,17,64,1260,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.010941453278064728,0.007754689082503319,0.5142857142857142,-0.016986923385466854,5286,12,64,1260,17.8,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
GRU,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.010959350503981113,0.007839531637728214,0.5015873015873016,-0.12204182630265627,5286,8,64,1260,19.4,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_GRU_lag64_h32_lr0.001_e20_p10.pt
LSTM,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.011001340113580227,0.007735918276011944,0.5214285714285715,0.09901344647721404,5286,36,64,1260,19.6,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_LSTM_lag64_h32_lr0.001_e20_p10.pt
Informer,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011173713952302933,0.0080641508102417,0.4984126984126984,0.14722814426124645,5286,24,64,1260,19.4,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_Informer_lag64_h32_lr0.001_e20_p10.pt
Informer,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011422557756304741,0.008347530849277973,0.49523809523809526,0.2563997670577544,5286,8,64,1260,18.8,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_Informer_lag64_h32_lr0.001_e20_p10.pt
Informer,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011459087952971458,0.008156019262969494,0.5452380952380952,0.9098818090391119,5286,17,64,1260,18.6,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011527376249432564,0.008211662992835045,0.5111111111111111,0.36777052517317205,5286,24,64,1260,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_PatchTST_lag64_h32_lr0.001_e20_p10.pt
Informer,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.011547276750206947,0.008327311836183071,0.5222222222222223,0.09193552384182618,5286,36,64,1260,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_Informer_lag64_h32_lr0.001_e20_p10.pt
GRU,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011682718060910702,0.008301828987896442,0.4984126984126984,-0.48403554810476473,5286,24,64,1260,18.8,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.011770284734666348,0.008450076915323734,0.48095238095238096,0.03429526894109232,5286,36,64,1260,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_PatchTST_lag64_h32_lr0.001_e20_p10.pt
GRU,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.011788424104452133,0.008054648526012897,0.5174603174603175,0.10573025126175209,5286,12,64,1260,17.8,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011800083331763744,0.008430222049355507,0.48253968253968255,-0.29355514988852427,5286,17,64,1260,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_GRU_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011919595301151276,0.008574549108743668,0.4984126984126984,-0.36158939871547646,5286,17,64,1260,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_PatchTST_lag64_h32_lr0.001_e20_p10.pt
Informer,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.012293819338083267,0.008389312773942947,0.515079365079365,0.04391934394674284,5286,12,64,1260,14.8,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_Informer_lag64_h32_lr0.001_e20_p10.pt
GRU,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.012822789140045643,0.008956965059041977,0.5119047619047619,0.648397068317962,5286,36,64,1260,19.2,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_GRU_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.016347788274288177,0.009236550889909267,0.515079365079365,0.06815085835744525,5286,12,64,1260,19.2,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
