model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
GRU,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011550460942089558,0.007296957075595856,0.5132275132275133,-1.0455262435937807,5286,8,64,378,19.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011312607675790787,0.007223380729556084,0.5502645502645502,0.9452077840541403,5286,17,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.012139684520661831,0.008261103183031082,0.47883597883597884,0.17292462404606593,5286,24,64,378,17.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.011590034700930119,0.007848242297768593,0.5,0.4865199308369996,5286,36,64,378,19.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.014344274066388607,0.008964760228991508,0.5714285714285714,1.0244991597473894,5286,12,64,378,12.666666666666666,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_GRU_lag64_h32_lr0.001_e20_p10.pt
LSTM,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011434049345552921,0.007202251814305782,0.5132275132275133,-0.08753822220944624,5286,8,64,378,16.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011463068425655365,0.007439040578901768,0.5079365079365079,-1.0288987567815442,5286,17,64,378,19.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011585347354412079,0.007368349935859442,0.5185185185185185,-0.5187882349490351,5286,24,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.012789726257324219,0.008210699073970318,0.5291005291005291,0.4083526761513206,5286,36,64,378,19.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.011451030150055885,0.00761932460591197,0.48148148148148145,-0.013298757283905149,5286,12,64,378,16.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
