model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
LSTM,G1_price_only,32,32,0.0005,20,8,64,target_h1,ok,,0.011403173208236694,0.007347995415329933,0.5211640211640212,-0.11544995720288172,5318,8,32,378,15.333333333333334,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h32_lr0.0005_e20_p8.pt
LSTM,G1_price_only,32,32,0.0005,20,15,64,target_h1,ok,,0.011403173208236694,0.007347995415329933,0.5211640211640212,-0.11544995720288172,5318,8,32,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h32_lr0.0005_e20_p15.pt
LSTM,G1_price_only,32,32,0.0005,40,8,64,target_h1,ok,,0.011403173208236694,0.007347995415329933,0.5211640211640212,-0.11544995720288172,5318,8,32,378,15.333333333333334,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h32_lr0.0005_e40_p8.pt
LSTM,G1_price_only,32,32,0.0005,40,15,64,target_h1,ok,,0.011403173208236694,0.007347995415329933,0.5211640211640212,-0.11544995720288172,5318,8,32,378,22.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h32_lr0.0005_e40_p15.pt
LSTM,G1_price_only,32,32,0.001,20,8,64,target_h1,ok,,0.010924015194177628,0.00707146804779768,0.5052910052910053,0.3569068550574277,5318,8,32,378,13.666666666666666,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h32_lr0.001_e20_p8.pt
LSTM,G1_price_only,32,32,0.001,20,15,64,target_h1,ok,,0.011022173799574375,0.007113193161785603,0.4973544973544973,-1.1073795990686663,5318,8,32,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h32_lr0.001_e20_p15.pt
LSTM,G1_price_only,32,32,0.001,40,8,64,target_h1,ok,,0.010924015194177628,0.00707146804779768,0.5052910052910053,0.3569068550574277,5318,8,32,378,14.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h32_lr0.001_e40_p8.pt
LSTM,G1_price_only,32,32,0.001,40,15,64,target_h1,ok,,0.011022173799574375,0.007113193161785603,0.4973544973544973,-1.1073795990686663,5318,8,32,378,30.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h32_lr0.001_e40_p15.pt
LSTM,G1_price_only,32,64,0.0005,20,8,64,target_h1,ok,,0.011298819445073605,0.007195844780653715,0.5052910052910053,-0.931263705887995,5318,8,32,378,11.666666666666666,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h64_lr0.0005_e20_p8.pt
LSTM,G1_price_only,32,64,0.0005,20,15,64,target_h1,ok,,0.011298819445073605,0.007195844780653715,0.5052910052910053,-0.931263705887995,5318,8,32,378,18.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag32_h64_lr0.0005_e20_p15.pt
