model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
GRU,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011141014285385609,0.007074195891618729,0.5423280423280423,-0.019115719139754107,5286,8,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011490791104733944,0.007503438275307417,0.5396825396825397,0.11447146473311721,5286,17,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.01123348344117403,0.007580991368740797,0.4894179894179894,0.04561554852610058,5286,24,64,378,19.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.011501275934278965,0.007477091159671545,0.5608465608465608,1.4651246508191536,5286,36,64,378,19.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.027551162987947464,0.013916555792093277,0.4894179894179894,-1.5701840937375873,5286,12,64,378,19.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_GRU_lag64_h32_lr0.001_e20_p10.pt
LSTM,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011014983989298344,0.007003109436482191,0.5502645502645502,0.4947584151281331,5286,8,64,378,15.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011384038254618645,0.007367735728621483,0.5396825396825397,0.24052755211305107,5286,17,64,378,18.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011135917156934738,0.00721778953447938,0.5132275132275133,-0.38086114767970825,5286,24,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.012339195236563683,0.007930200546979904,0.5343915343915344,1.0278751942982174,5286,36,64,378,18.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.011752571910619736,0.007728302385658026,0.4947089947089947,-1.4016471319629238,5286,12,64,378,16.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.010765408165752888,0.007063242606818676,0.5317460317460317,1.334045776749919,5286,8,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.01091412641108036,0.00715179368853569,0.5158730158730159,-0.30935009160943044,5286,17,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011179809458553791,0.0072676134295761585,0.5529100529100529,0.6229165522089396,5286,24,64,378,18.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.011186822317540646,0.007251010276377201,0.5264550264550265,0.2641626751143206,5286,36,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.023239728063344955,0.011179589666426182,0.49206349206349204,-1.3351394315522056,5286,12,64,378,19.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
Informer,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011207771487534046,0.007515893317759037,0.47883597883597884,-0.731933558995295,5286,8,64,378,16.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_Informer_lag64_h32_lr0.001_e20_p10.pt
Informer,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011389954946935177,0.0079493448138237,0.49206349206349204,-0.029215640148275924,5286,17,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt
Informer,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011551001109182835,0.0077182212844491005,0.5238095238095238,0.4888087720689742,5286,24,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_Informer_lag64_h32_lr0.001_e20_p10.pt
Informer,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.01855209283530712,0.010735447518527508,0.48677248677248675,-1.6432303264464594,5286,36,64,378,18.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_Informer_lag64_h32_lr0.001_e20_p10.pt
Informer,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.014642229303717613,0.009128975681960583,0.4894179894179894,-1.5701840937375873,5286,12,64,378,14.666666666666666,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_Informer_lag64_h32_lr0.001_e20_p10.pt
