model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
PatchTST,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.010890280827879906,0.006966583430767059,0.5555555555555556,0.713678951143005,5286,8,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
LSTM,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.010926375165581703,0.007095539476722479,0.5079365079365079,0.15006994685963393,5286,17,64,378,19.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_LSTM_lag64_h32_lr0.001_e20_p10.pt
GRU,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.010952151380479336,0.00720644136890769,0.5423280423280423,0.9691213112813584,5286,17,64,378,18.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_GRU_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011060552671551704,0.007329470943659544,0.5343915343915344,1.5763154906684187,5286,24,64,378,18.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_PatchTST_lag64_h32_lr0.001_e20_p10.pt
LSTM,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011084027588367462,0.007195641752332449,0.5211640211640212,0.16287318053608735,5286,8,64,378,17.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
Informer,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.01108801644295454,0.007331773638725281,0.4947089947089947,-0.420530705598783,5286,24,64,378,19.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_Informer_lag64_h32_lr0.001_e20_p10.pt
GRU,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011154667474329472,0.007215476594865322,0.5052910052910053,-0.7322384650004292,5286,8,64,378,18.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.011219113133847713,0.007450657431036234,0.5,0.06406190471614169,5286,36,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_GRU_lag64_h32_lr0.001_e20_p10.pt
Informer,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.011225420981645584,0.007235925178974867,0.49206349206349204,-0.6437380384340594,5286,36,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_Informer_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.01132098026573658,0.007475031539797783,0.5476190476190477,0.6056734044102751,5286,36,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_PatchTST_lag64_h32_lr0.001_e20_p10.pt
Informer,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011337063275277615,0.00741360429674387,0.5052910052910053,-0.7474160126960171,5286,8,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G1_price_only_Informer_lag64_h32_lr0.001_e20_p10.pt
LSTM,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.011451030150055885,0.00761932460591197,0.48148148148148145,-0.013298757283905149,5286,12,64,378,16.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011470298282802105,0.007489657495170832,0.5158730158730159,-0.6317677893007602,5286,17,64,378,20.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_PatchTST_lag64_h32_lr0.001_e20_p10.pt
LSTM,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011493737809360027,0.007466462440788746,0.5555555555555556,0.41040116695225454,5286,24,64,378,19.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt
Informer,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011820271611213684,0.007923739030957222,0.48677248677248675,-0.02162969688499494,5286,17,64,378,18.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt
GRU,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011951334774494171,0.00810509268194437,0.5185185185185185,0.6440128157858854,5286,24,64,378,19.0,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt
Informer,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.012172851711511612,0.007884208112955093,0.5555555555555556,0.4813825422460501,5286,12,64,378,17.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_Informer_lag64_h32_lr0.001_e20_p10.pt
LSTM,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h1,ok,,0.01286997925490141,0.008364500477910042,0.47354497354497355,-1.2158801237846653,5286,36,64,378,18.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G4_price_plus_sentiment_LSTM_lag64_h32_lr0.001_e20_p10.pt
GRU,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.014344274066388607,0.008964760228991508,0.5714285714285714,1.0244991597473894,5286,12,64,378,12.666666666666666,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_GRU_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G5_sentiment_only,64,32,0.001,20,10,64,target_h1,ok,,0.02253430336713791,0.011633032001554966,0.5608465608465608,0.6297362691959484,5286,12,64,378,19.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h1\target_h1_G5_sentiment_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
