model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
LSTM,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.020040512084960938,0.014261852949857712,0.6058201058201058,2.211909772416851,5282,8,64,378,13.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G1_price_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
TFT,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h5,ok,,0.02039056271314621,0.014519855380058289,0.5079365079365079,-0.1666406655976175,5282,34,64,378,13.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G4_price_plus_sentiment_TFT_lag64_h32_lr0.001_e20_p10.pt
GRU,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.020836306735873222,0.014745053835213184,0.5396825396825397,0.08526874424525417,5282,8,64,378,13.666666666666666,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G1_price_only_GRU_lag64_h32_lr0.001_e20_p10.pt
TFT,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.020946219563484192,0.014998115599155426,0.4708994708994709,-1.6375898667326496,5282,17,64,378,15.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt
TFT,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.021163547411561012,0.015300242230296135,0.4708994708994709,-1.2585683414913453,5282,22,64,378,12.666666666666666,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G3_plus_breadth_TFT_lag64_h32_lr0.001_e20_p10.pt
TFT,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.021185191348195076,0.015409517101943493,0.4312169312169312,-2.001665414039189,5282,8,64,378,17.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G1_price_only_TFT_lag64_h32_lr0.001_e20_p10.pt
LSTM,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.02138224057853222,0.015708889812231064,0.46825396825396826,-0.4742576267028147,5282,17,64,378,15.666666666666666,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G2_price_technical_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h5,ok,,0.022254519164562225,0.016243068501353264,0.48677248677248675,-0.3416616864523264,5282,34,64,378,16.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G4_price_plus_sentiment_LSTM_lag64_h32_lr0.001_e20_p10.pt
FEDformer,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.022496303543448448,0.016363579779863358,0.43915343915343913,-2.5034453040759908,5282,17,64,378,19.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G2_price_technical_FEDformer_lag64_h32_lr0.001_e20_p10.pt
LSTM,G5_sentiment_only,64,32,0.001,20,10,64,target_h5,ok,,0.02270318754017353,0.01660514809191227,0.4312169312169312,-2.1611547225371344,5282,12,64,378,15.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G5_sentiment_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
Informer,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.022770442068576813,0.01746097020804882,0.4365079365079365,-0.7388819999006876,5282,8,64,378,17.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G1_price_only_Informer_lag64_h32_lr0.001_e20_p10.pt
LSTM,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.022792216390371323,0.017039209604263306,0.4497354497354497,-1.809479937867009,5282,22,64,378,13.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt
GRU,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.023324275389313698,0.017182566225528717,0.47883597883597884,-1.9015851488767546,5282,17,64,378,13.666666666666666,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G2_price_technical_GRU_lag64_h32_lr0.001_e20_p10.pt
Informer,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h5,ok,,0.023377005010843277,0.01682392694056034,0.4894179894179894,-2.045470795991527,5282,34,64,378,16.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G4_price_plus_sentiment_Informer_lag64_h32_lr0.001_e20_p10.pt
GRU,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.02348228543996811,0.0168756153434515,0.4576719576719577,-1.93258927155382,5282,22,64,378,15.333333333333334,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.023483358323574066,0.017427612096071243,0.5211640211640212,0.5646993553815107,5282,22,64,378,17.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G3_plus_breadth_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.023729216307401657,0.017561079934239388,0.43915343915343913,-1.996789637735837,5282,17,64,378,16.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G2_price_technical_PatchTST_lag64_h32_lr0.001_e20_p10.pt
Informer,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.023890523239970207,0.017917348071932793,0.47619047619047616,-1.1198489794728448,5282,22,64,378,17.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G3_plus_breadth_Informer_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.024229997768998146,0.017960792407393456,0.42328042328042326,-2.7773399120968163,5282,8,64,378,19.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
Informer,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.024291133508086205,0.017855340614914894,0.4603174603174603,-1.7526535916952963,5282,17,64,378,18.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt
FEDformer,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.025278007611632347,0.019191326573491096,0.4444444444444444,0.4347789970013534,5282,22,64,378,19.333333333333332,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G3_plus_breadth_FEDformer_lag64_h32_lr0.001_e20_p10.pt
FEDformer,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.0258162971585989,0.01873927377164364,0.46296296296296297,-2.287695293987207,5282,8,64,378,18.0,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G1_price_only_FEDformer_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G5_sentiment_only,64,32,0.001,20,10,64,target_h5,ok,,0.027561483904719353,0.018790366128087044,0.41534391534391535,-2.80526755981256,5282,12,64,378,17.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G5_sentiment_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G4_price_plus_sentiment,64,32,0.001,20,10,64,target_h5,ok,,0.028512410819530487,0.020543722435832024,0.455026455026455,-0.7271857016390383,5282,34,64,378,18.666666666666668,artifacts\models\deep_preprocessed_sentiment\target_h5\target_h5_G4_price_plus_sentiment_PatchTST_lag64_h32_lr0.001_e20_p10.pt
