model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
TFT,G1_price_only,32,16,0.001,3,2,128,target_h1,ok,,0.007942967116832733,0.005816283170133829,0.5873015873015873,1.7276643814137524,4998,8,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_TFT_lag32_h16_lr0.001_e3_p2.pt
TFT,G2_price_technical,32,16,0.001,3,2,128,target_h1,ok,,0.007993343286216259,0.005735023412853479,0.6507936507936508,1.4403403932099517,4998,17,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_TFT_lag32_h16_lr0.001_e3_p2.pt
GRU,G1_price_only,32,16,0.001,3,2,128,target_h1,ok,,0.008678305894136429,0.006740562152117491,0.6190476190476191,2.5794545657436134,4998,8,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_GRU_lag32_h16_lr0.001_e3_p2.pt
TFT,G3_plus_breadth,32,16,0.001,3,2,128,target_h1,ok,,0.009154307655990124,0.007022229954600334,0.5873015873015873,0.6219466382041966,4998,24,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_TFT_lag32_h16_lr0.001_e3_p2.pt
Informer,G1_price_only,32,16,0.001,3,2,128,target_h1,ok,,0.009417397901415825,0.006856332533061504,0.6190476190476191,2.246406674213698,4998,8,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_Informer_lag32_h16_lr0.001_e3_p2.pt
FEDformer,G3_plus_breadth,32,16,0.001,3,2,128,target_h1,ok,,0.010869900695979595,0.008511943742632866,0.49206349206349204,0.6545563587601225,4998,24,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_FEDformer_lag32_h16_lr0.001_e3_p2.pt
NHITS,G1_price_only,32,16,0.001,3,2,128,target_h1,ok,,0.011161730624735355,0.008690429851412773,0.47619047619047616,0.5265528966901634,4998,8,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_NHITS_lag32_h16_lr0.001_e3_p2.pt
GRU,G3_plus_breadth,32,16,0.001,3,2,128,target_h1,ok,,0.012074306607246399,0.009717714041471481,0.4603174603174603,0.18007786395377604,4998,24,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_GRU_lag32_h16_lr0.001_e3_p2.pt
FEDformer,G1_price_only,32,16,0.001,3,2,128,target_h1,ok,,0.014216607436537743,0.011178788729012012,0.5238095238095238,-2.0478572138236393,4998,8,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_FEDformer_lag32_h16_lr0.001_e3_p2.pt
PatchTST,G1_price_only,32,16,0.001,3,2,128,target_h1,ok,,0.014235484413802624,0.011422885581851006,0.4603174603174603,2.149413450579956,4998,8,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_PatchTST_lag32_h16_lr0.001_e3_p2.pt
GRU,G2_price_technical,32,16,0.001,3,2,128,target_h1,ok,,0.014691738411784172,0.011424647644162178,0.5079365079365079,0.346415776627434,4998,17,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_GRU_lag32_h16_lr0.001_e3_p2.pt
Informer,G3_plus_breadth,32,16,0.001,3,2,128,target_h1,ok,,0.01619824767112732,0.013238100335001945,0.5555555555555556,-0.8935495637520476,4998,24,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_Informer_lag32_h16_lr0.001_e3_p2.pt
NHITS,G3_plus_breadth,32,16,0.001,3,2,128,target_h1,ok,,0.01641821302473545,0.01270785741508007,0.4603174603174603,-0.4424897527485152,4998,24,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_NHITS_lag32_h16_lr0.001_e3_p2.pt
FEDformer,G2_price_technical,32,16,0.001,3,2,128,target_h1,ok,,0.017821988090872765,0.01442964468151331,0.4444444444444444,-1.1784413362962975,4998,17,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_FEDformer_lag32_h16_lr0.001_e3_p2.pt
PatchTST,G2_price_technical,32,16,0.001,3,2,128,target_h1,ok,,0.018185749650001526,0.01428751740604639,0.42857142857142855,-1.2439956498708118,4998,17,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_PatchTST_lag32_h16_lr0.001_e3_p2.pt
PatchTST,G3_plus_breadth,32,16,0.001,3,2,128,target_h1,ok,,0.018899984657764435,0.015517279505729675,0.5396825396825397,2.0475991319380356,4998,24,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_PatchTST_lag32_h16_lr0.001_e3_p2.pt
NHITS,G2_price_technical,32,16,0.001,3,2,128,target_h1,ok,,0.02157236821949482,0.01688951626420021,0.42857142857142855,-1.7988890927097274,4998,17,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_NHITS_lag32_h16_lr0.001_e3_p2.pt
Mamba,G2_price_technical,32,16,0.001,3,2,128,target_h1,ok,,0.02550632879137993,0.02007659338414669,0.4444444444444444,-0.9839348210000508,4998,17,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_Mamba_lag32_h16_lr0.001_e3_p2.pt
Informer,G2_price_technical,32,16,0.001,3,2,128,target_h1,ok,,0.028168251737952232,0.02322394959628582,0.4603174603174603,-1.7748595948635337,4998,17,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_Informer_lag32_h16_lr0.001_e3_p2.pt
Mamba,G1_price_only,32,16,0.001,3,2,128,target_h1,ok,,0.02978375367820263,0.0228629969060421,0.5238095238095238,1.191920959541763,4998,8,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_Mamba_lag32_h16_lr0.001_e3_p2.pt
Mamba,G3_plus_breadth,32,16,0.001,3,2,128,target_h1,ok,,0.035462118685245514,0.026614321395754814,0.5714285714285714,0.16638415182185148,4998,24,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_Mamba_lag32_h16_lr0.001_e3_p2.pt
Autoformer,G2_price_technical,32,16,0.001,3,2,128,target_h1,ok,,0.040838513523340225,0.03298744931817055,0.4444444444444444,-1.8579910470649623,4998,17,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_Autoformer_lag32_h16_lr0.001_e3_p2.pt
NBEATS,G1_price_only,32,16,0.001,3,2,128,target_h1,ok,,0.05090499296784401,0.03983616828918457,0.49206349206349204,-0.26783564911415925,4998,8,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_NBEATS_lag32_h16_lr0.001_e3_p2.pt
LSTM,G1_price_only,32,16,0.001,3,2,128,target_h1,ok,,0.0677993893623352,0.06734079867601395,0.5873015873015873,0.6219466382041966,4998,8,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_LSTM_lag32_h16_lr0.001_e3_p2.pt
NBEATS,G2_price_technical,32,16,0.001,3,2,128,target_h1,ok,,0.07019424438476562,0.05443214997649193,0.4603174603174603,-0.3371776978355196,4998,17,32,63,3.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_NBEATS_lag32_h16_lr0.001_e3_p2.pt
