model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
TFT,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.017605174332857132,0.013612756505608559,0.6031746031746031,1.5164761247357101,4962,8,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_TFT_lag64_h32_lr0.001_e20_p10.pt
TFT,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.01797756366431713,0.014594439417123795,0.47619047619047616,-0.6203905658114249,4962,17,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt
TFT,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.016802094876766205,0.013384567573666573,0.6507936507936508,2.6397270659963534,4962,24,64,63,14.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_TFT_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.016167553141713142,0.012677214108407497,0.6507936507936508,2.6397270659963534,4962,8,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.016489852219820023,0.012999191880226135,0.6349206349206349,2.3031835995869425,4962,17,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.01645982638001442,0.013713713735342026,0.5873015873015873,2.269354528180679,4962,24,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_PatchTST_lag64_h32_lr0.001_e20_p10.pt
MambaStock,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.019201526418328285,0.015420649200677872,0.5238095238095238,-0.5080752945623969,4962,8,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_MambaStock_lag64_h32_lr0.001_e20_p10.pt
MambaStock,G2_price_technical,64,32,0.001,20,10,64,target_h5,ok,,0.01787031814455986,0.014409435912966728,0.5714285714285714,1.63105129520125,4962,17,64,63,16.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_MambaStock_lag64_h32_lr0.001_e20_p10.pt
MambaStock,G3_plus_breadth,64,32,0.001,20,10,64,target_h5,ok,,0.01927051693201065,0.01437179185450077,0.5714285714285714,0.13841860486289587,4962,24,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_MambaStock_lag64_h32_lr0.001_e20_p10.pt
Informer,G1_price_only,64,32,0.001,20,10,64,target_h5,ok,,0.016459349542856216,0.013272490352392197,0.6825396825396826,3.9341914176876847,4962,8,64,63,16.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_Informer_lag64_h32_lr0.001_e20_p10.pt
