model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
MambaStock,G1_price_only,32,32,0.0005,20,5,64,target_h1,ok,,0.011373253539204597,0.009256720542907715,0.5238095238095238,-1.2338435121801143,4998,8,32,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_MambaStock_lag32_h32_lr0.0005_e20_p5.pt
MambaStock,G1_price_only,32,32,0.0005,20,10,64,target_h1,ok,,0.011373253539204597,0.009256720542907715,0.5238095238095238,-1.2338435121801143,4998,8,32,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_MambaStock_lag32_h32_lr0.0005_e20_p10.pt
MambaStock,G1_price_only,32,32,0.001,20,5,64,target_h1,ok,,0.010356447659432888,0.008119731210172176,0.4126984126984127,-0.14728018126337608,4998,8,32,63,17.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_MambaStock_lag32_h32_lr0.001_e20_p5.pt
MambaStock,G1_price_only,32,32,0.001,20,10,64,target_h1,ok,,0.010937872342765331,0.008988332003355026,0.5396825396825397,0.4093874932022227,4998,8,32,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_MambaStock_lag32_h32_lr0.001_e20_p10.pt
MambaStock,G1_price_only,64,32,0.0005,20,5,64,target_h1,ok,,0.009333238936960697,0.0071952203288674355,0.5873015873015873,0.6722093660229166,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_MambaStock_lag64_h32_lr0.0005_e20_p5.pt
MambaStock,G1_price_only,64,32,0.0005,20,10,64,target_h1,ok,,0.009333238936960697,0.0071952203288674355,0.5873015873015873,0.6722093660229166,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_MambaStock_lag64_h32_lr0.0005_e20_p10.pt
MambaStock,G1_price_only,64,32,0.001,20,5,64,target_h1,ok,,0.009031888097524643,0.006870220880955458,0.5873015873015873,0.7824032087920841,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_MambaStock_lag64_h32_lr0.001_e20_p5.pt
MambaStock,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.009031888097524643,0.006870220880955458,0.5873015873015873,0.7824032087920841,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_MambaStock_lag64_h32_lr0.001_e20_p10.pt
MambaStock,G2_price_technical,32,32,0.0005,20,5,64,target_h1,ok,,0.011431876569986343,0.009679274633526802,0.5079365079365079,0.2421656181827353,4998,17,32,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_MambaStock_lag32_h32_lr0.0005_e20_p5.pt
MambaStock,G2_price_technical,32,32,0.0005,20,10,64,target_h1,ok,,0.011431876569986343,0.009679274633526802,0.5079365079365079,0.2421656181827353,4998,17,32,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_MambaStock_lag32_h32_lr0.0005_e20_p10.pt
MambaStock,G2_price_technical,32,32,0.001,20,5,64,target_h1,ok,,0.011203841306269169,0.008630960248410702,0.5555555555555556,0.4698286350514628,4998,17,32,63,15.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_MambaStock_lag32_h32_lr0.001_e20_p5.pt
MambaStock,G2_price_technical,32,32,0.001,20,10,64,target_h1,ok,,0.011203841306269169,0.008630960248410702,0.5555555555555556,0.4698286350514628,4998,17,32,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_MambaStock_lag32_h32_lr0.001_e20_p10.pt
MambaStock,G2_price_technical,64,32,0.0005,20,5,64,target_h1,ok,,0.011750067584216595,0.009272520430386066,0.5714285714285714,4.446815104116842,4966,17,64,63,17.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_MambaStock_lag64_h32_lr0.0005_e20_p5.pt
MambaStock,G2_price_technical,64,32,0.0005,20,10,64,target_h1,ok,,0.010179040022194386,0.00840158760547638,0.5555555555555556,1.344069273368583,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_MambaStock_lag64_h32_lr0.0005_e20_p10.pt
MambaStock,G2_price_technical,64,32,0.001,20,5,64,target_h1,ok,,0.01093387696892023,0.008463611826300621,0.6190476190476191,3.9052584862989144,4966,17,64,63,15.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_MambaStock_lag64_h32_lr0.001_e20_p5.pt
MambaStock,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.01093387696892023,0.008463611826300621,0.6190476190476191,3.9052584862989144,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_MambaStock_lag64_h32_lr0.001_e20_p10.pt
MambaStock,G3_plus_breadth,32,32,0.0005,20,5,64,target_h1,ok,,0.013809401541948318,0.010643132030963898,0.4126984126984127,-0.9496558160914288,4998,24,32,63,15.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag32_h32_lr0.0005_e20_p5.pt
MambaStock,G3_plus_breadth,32,32,0.0005,20,10,64,target_h1,ok,,0.013809401541948318,0.010643132030963898,0.4126984126984127,-0.9496558160914288,4998,24,32,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag32_h32_lr0.0005_e20_p10.pt
MambaStock,G3_plus_breadth,32,32,0.001,20,5,64,target_h1,ok,,0.018657056614756584,0.01409218180924654,0.36507936507936506,-1.9184270309437383,4998,24,32,63,8.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag32_h32_lr0.001_e20_p5.pt
MambaStock,G3_plus_breadth,32,32,0.001,20,10,64,target_h1,ok,,0.009663564153015614,0.007916768081486225,0.3968253968253968,0.11257097169097698,4998,24,32,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag32_h32_lr0.001_e20_p10.pt
MambaStock,G3_plus_breadth,64,32,0.0005,20,5,64,target_h1,ok,,0.009219739586114883,0.006900923792272806,0.47619047619047616,-1.5750354865042089,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag64_h32_lr0.0005_e20_p5.pt
MambaStock,G3_plus_breadth,64,32,0.0005,20,10,64,target_h1,ok,,0.009219739586114883,0.006900923792272806,0.47619047619047616,-1.5750354865042089,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag64_h32_lr0.0005_e20_p10.pt
MambaStock,G3_plus_breadth,64,32,0.001,20,5,64,target_h1,ok,,0.00893024168908596,0.006746240891516209,0.4444444444444444,-1.2951583784505765,4966,24,64,63,12.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag64_h32_lr0.001_e20_p5.pt
MambaStock,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.00893024168908596,0.006746240891516209,0.4444444444444444,-1.2951583784505765,4966,24,64,63,17.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag64_h32_lr0.001_e20_p10.pt
