symbol,target,model_name,feature_group,rmse,mae,directional_accuracy,sharpe,artifact_path,source_best_report,source_best_artifact,n_splits,test_size,min_train_size,embargo,val_size,lag_window,hidden_size,lr,epochs,patience,batch_size
AAPL,target_h1,MambaStock,G3_plus_breadth,0.0174618400633335,0.0136226741597056,0.5158730158730159,0.7384504057056004,artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\AAPL\AAPL_target_h1_MambaStock_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_MambaStock_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
AAPL,target_h1,TFT,G2_price_technical,0.0131775457412004,0.0092696379870176,0.5079365079365079,0.9439596595338372,artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\AAPL\AAPL_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
AAPL,target_h5,MambaStock,G2_price_technical,0.035607986152172,0.0299387127161026,0.4285714285714285,-0.8353687346010421,artifacts\models\nasdaq100_best_deep_per_symbol\target_h5\AAPL\AAPL_target_h5_MambaStock_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h5_best_configs.csv,artifacts\models\deep_torch\target_h5\target_h5_G2_price_technical_MambaStock_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
AAPL,target_h5,TFT,G3_plus_breadth,0.0315310545265674,0.025427171960473,0.4682539682539682,-0.3977386982684237,artifacts\models\nasdaq100_best_deep_per_symbol\target_h5\AAPL\AAPL_target_h5_TFT_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h5_best_configs.csv,artifacts\models\deep_torch\target_h5\target_h5_G3_plus_breadth_TFT_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
ABNB,target_h1,MambaStock,G3_plus_breadth,0.0213141739368438,0.0160518661141395,0.5714285714285714,2.743647149975384,artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ABNB\ABNB_target_h1_MambaStock_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_MambaStock_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
ABNB,target_h1,TFT,G2_price_technical,0.019512852653861,0.0141140995547175,0.5079365079365079,-1.1408870733535474,artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ABNB\ABNB_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
ABNB,target_h5,MambaStock,G2_price_technical,0.0416550450026989,0.0341854691505432,0.5396825396825397,3.4618004739110035,artifacts\models\nasdaq100_best_deep_per_symbol\target_h5\ABNB\ABNB_target_h5_MambaStock_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h5_best_configs.csv,artifacts\models\deep_torch\target_h5\target_h5_G2_price_technical_MambaStock_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
ABNB,target_h5,TFT,G3_plus_breadth,0.0398172028362751,0.0326390489935874,0.5873015873015873,2.5298402788213585,artifacts\models\nasdaq100_best_deep_per_symbol\target_h5\ABNB\ABNB_target_h5_TFT_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h5_best_configs.csv,artifacts\models\deep_torch\target_h5\target_h5_G3_plus_breadth_TFT_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
ADBE,target_h1,MambaStock,G3_plus_breadth,0.0226434860378503,0.0161044672131538,0.4761904761904761,-1.4486213563580324,artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ADBE\ADBE_target_h1_MambaStock_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_MambaStock_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
ADBE,target_h1,TFT,G2_price_technical,0.0210453178733587,0.0150032639503479,0.5555555555555556,2.42091676265478,artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ADBE\ADBE_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt,1,126,756,5,126,64,32,0.001,20,10,64
