"symbol","target","model_name","feature_group","n_splits","test_size","min_train_size","embargo","val_size","source_best_report","source_best_artifact","lag_window","hidden_size","lr","epochs","patience","batch_size","status","note","rmse","mae","directional_accuracy","sharpe","n_rows","n_features","seq_len","n_test_total","avg_epochs_trained","artifact_path"
"EA","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.009253954514861107","0.004854824859648943","0.5396825396825397","1.8387251684241583","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\EA\EA_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"AEP","target_h1","Informer","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0109372166916728","0.0082005495205521","0.5158730158730159","0.8126242916586337","5277","17","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\AEP\AEP_target_h1_Informer_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"EXC","target_h1","LSTM","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.01146622747182846","0.0090452516451478","0.5158730158730159","0.2983483275755323","5277","22","64","126","14.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\EXC\EXC_target_h1_LSTM_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"LIN","target_h1","LSTM","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.011725256219506264","0.009342288598418236","0.5476190476190477","1.9044175198973592","5277","22","64","126","15.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\LIN\LIN_target_h1_LSTM_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"COST","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.011945212259888649","0.00909905694425106","0.5238095238095238","1.7472649259006787","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\COST\COST_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"PEP","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0125079639256","0.0096466355025768","0.6111111111111112","3.873115242245244","5277","17","64","126","12.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\PEP\PEP_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"CTAS","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.012733259238302708","0.009623963385820389","0.5476190476190477","0.14252244836066613","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\CTAS\CTAS_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"AAPL","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0131775457412004","0.0092696379870176","0.5079365079365079","0.9439596595338372","5277","17","64","126","12.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\AAPL\AAPL_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"CCEP","target_h1","LSTM","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.013417496345937252","0.00970879290252924","0.5158730158730159","0.9534251442208554","5277","22","64","126","14.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\CCEP\CCEP_target_h1_LSTM_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"CSX","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0134289916604757","0.0100782876834273","0.5634920634920635","2.052283794198224","5277","17","64","126","15.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\CSX\CSX_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"HON","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.014044765383005142","0.010497123934328556","0.5952380952380952","1.9920743311361062","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\HON\HON_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"ADP","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0141586428508162","0.0104651469737291","0.5","1.2209605963039587","5277","8","64","126","19.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ADP\ADP_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"ASML","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.01415864285081625","0.010465146973729134","0.5","1.2209605963039587","5277","8","64","126","19.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ASML\ASML_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"WMT","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.014433035627007484","0.010980907827615738","0.5158730158730159","2.014311790296347","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\WMT\WMT_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"ORLY","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.01443751435726881","0.010988699272274971","0.5158730158730159","-0.9177329739316271","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ORLY\ORLY_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"MNST","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0146759171038866","0.0112904496490955","0.492063492063492","-0.3108081881336189","5277","17","64","126","14.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\MNST\MNST_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"MDLZ","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0146759171038866","0.0112904496490955","0.492063492063492","-0.3108081881336189","5277","17","64","126","14.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\MDLZ\MDLZ_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"MPWR","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0146759171038866","0.0112904496490955","0.492063492063492","-0.3108081881336189","5277","17","64","126","14.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\MPWR\MPWR_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"KDP","target_h1","GRU","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.014888635836541653","0.011340536177158356","0.5079365079365079","1.3789313981030111","4436","22","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\KDP\KDP_target_h1_GRU_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"KHC","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0150524638593196","0.0114708412438631","0.4841269841269841","1.8418227720080445","2634","17","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\KHC\KHC_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"FER","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.015158947557210922","0.011417918838560581","0.48412698412698413","-1.0805050302234969","3360","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\FER\FER_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"MSFT","target_h1","Informer","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.015175833366811275","0.011682698503136635","0.5","1.45838268165634","5277","17","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\MSFT\MSFT_target_h1_Informer_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"CSCO","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0156012801453471","0.0117627633735537","0.5793650793650794","2.816854065937681","5277","17","64","126","12.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\CSCO\CSCO_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"FAST","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.015823936089873314","0.012275389395654202","0.5238095238095238","-0.09425362658733524","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\FAST\FAST_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"CPRT","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.016200287267565727","0.011633048765361309","0.5634920634920635","2.143982642745394","5277","8","64","126","19.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\CPRT\CPRT_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"PCAR","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.016463296487927437","0.012281826697289944","0.5158730158730159","-0.922955139924696","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\PCAR\PCAR_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"GILD","target_h1","FEDformer","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_FEDformer_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.016722099855542183","0.012912586331367493","0.5793650793650794","1.5803886634109947","5277","22","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\GILD\GILD_target_h1_FEDformer_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"IDXX","target_h1","FEDformer","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_FEDformer_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.016722099855542183","0.012912586331367493","0.5793650793650794","1.5803886634109947","5277","22","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\IDXX\IDXX_target_h1_FEDformer_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"GOOG","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.01688542030751705","0.013277564197778702","0.5079365079365079","1.0112767060214558","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\GOOG\GOOG_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"ROST","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.016951629891991615","0.011489643715322018","0.5238095238095238","2.3238467647034406","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ROST\ROST_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"ROP","target_h1","PatchTST","G1_price_only","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.016951629891991615","0.011489643715322018","0.5238095238095238","2.3238467647034406","5277","8","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ROP\ROP_target_h1_PatchTST_G1_price_only_lag64_h32_lr0.001_e20_p10.pt"
"AMGN","target_h1","FEDformer","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_FEDformer_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0171982143074274","0.0123611791059374","0.5555555555555556","2.5789046617013733","5277","22","64","126","20.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\AMGN\AMGN_target_h1_FEDformer_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"EA","target_h5","TFT","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h5_best_configs.csv","artifacts\models\deep_torch\target_h5\target_h5_G3_plus_breadth_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0175019577145576","0.008905665948987","0.5476190476190477","1.699145226187842","5277","22","64","126","11.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h5\EA\EA_target_h5_TFT_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"MAR","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.017528835684061","0.0131121343001723","0.5634920634920635","0.903249759907916","5277","17","64","126","14.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\MAR\MAR_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"ISRG","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.017741547897458","0.0128255477175116","0.5714285714285714","1.448148387935877","5277","17","64","126","14.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\ISRG\ISRG_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"FANG","target_h1","LSTM","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.018271228298544884","0.01470191776752472","0.5238095238095238","2.2601569165610176","3317","22","64","126","11.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\FANG\FANG_target_h1_LSTM_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"PDD","target_h1","LSTM","G3_plus_breadth","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0187787264585495","0.01391797699034214","0.5634920634920635","2.5624662556606426","1863","22","64","126","19.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\PDD\PDD_target_h1_LSTM_G3_plus_breadth_lag64_h32_lr0.001_e20_p10.pt"
"SHOP","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0189855173230171","0.0150335226207971","0.5396825396825397","0.8755304690726615","5277","17","64","126","12.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\SHOP\SHOP_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"SNPS","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0189855173230171","0.0150335226207971","0.5396825396825397","0.8755304690726615","5277","17","64","126","12.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\SNPS\SNPS_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
"TMUS","target_h1","TFT","G2_price_technical","1","126","756","5","126","reports\deep_torch_model_results_h1_best_configs.csv","artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt","64","32","0.001","20","10","64","ok","","0.0189855173230171","0.0150335226207971","0.5396825396825397","0.8755304690726615","5277","17","64","126","12.0","artifacts\models\nasdaq100_best_deep_per_symbol\target_h1\TMUS\TMUS_target_h1_TFT_G2_price_technical_lag64_h32_lr0.001_e20_p10.pt"
