feature_group,model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,status,note,artifact_path
G1_price_only,elastic_net,0,300,20,0.02037923289421877,0.014004444179026047,0.5122517382967082,0.1441779136822536,8,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G1_price_only_elastic_net_lag0_e300_p20.joblib
G1_price_only,ridge,0,300,20,0.020377053163944985,0.014002555345110577,0.5104669630668388,0.1684889946523221,8,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G1_price_only_ridge_lag0_e300_p20.joblib
G1_price_only,random_forest,0,300,20,0.020439263310463175,0.014024046303344192,0.5095692636208627,-0.0017301377179112553,8,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G1_price_only_random_forest_lag0_e300_p20.joblib
G1_price_only,hist_gbr,0,300,20,0.020419274782145277,0.014021398300834004,0.5097817368625138,0.06751858642897783,8,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G1_price_only_hist_gbr_lag0_e300_p20.joblib
G1_price_only,mlp,0,300,20,0.020496933188122367,0.01404160175474682,0.5082359940295019,-0.1139839759027824,8,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G1_price_only_mlp_lag0_e300_p20.joblib
G2_price_technical,elastic_net,0,300,20,0.02037923289421877,0.014004444179026047,0.5122517382967082,0.1441779136822536,17,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G2_price_technical_elastic_net_lag0_e300_p20.joblib
G2_price_technical,ridge,0,300,20,0.020378521667203203,0.01400551468849142,0.510052640245619,0.19317156145600886,17,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G2_price_technical_ridge_lag0_e300_p20.joblib
G2_price_technical,random_forest,0,300,20,0.02044066249298672,0.014026673610679559,0.5093355430550465,-0.04695143684044639,17,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G2_price_technical_random_forest_lag0_e300_p20.joblib
G2_price_technical,hist_gbr,0,300,20,0.020508202345802265,0.014052430505916447,0.5073329827524846,-0.05580104777842709,17,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G2_price_technical_hist_gbr_lag0_e300_p20.joblib
G2_price_technical,mlp,0,300,20,0.02047863149959355,0.014054489974524222,0.5097551777073075,0.12890978860136942,17,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G2_price_technical_mlp_lag0_e300_p20.joblib
G3_plus_panel_breadth,elastic_net,0,300,20,0.020379403533058237,0.014004526540895859,0.5124801470314833,0.15148545317605525,22,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G3_plus_panel_breadth_elastic_net_lag0_e300_p20.joblib
G3_plus_panel_breadth,ridge,0,300,20,0.020374436134330227,0.014002473748170896,0.512666061117928,0.24797099997043878,22,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G3_plus_panel_breadth_ridge_lag0_e300_p20.joblib
G3_plus_panel_breadth,random_forest,0,300,20,0.02044901335463833,0.014051628807438475,0.5084803382574007,-0.012468150099746932,22,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G3_plus_panel_breadth_random_forest_lag0_e300_p20.joblib
G3_plus_panel_breadth,hist_gbr,0,300,20,0.0204557118025786,0.014061523669782574,0.5041777551139653,-0.0875276560789283,22,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G3_plus_panel_breadth_hist_gbr_lag0_e300_p20.joblib
G3_plus_panel_breadth,mlp,0,300,20,0.020476451793605768,0.014076614773217516,0.5060793906267429,0.20262641014940036,22,2461082,188259,ok,,artifacts\models\panel_full_h1_nosent\target_h1\target_h1_G3_plus_panel_breadth_mlp_lag0_e300_p20.joblib
