run_id,status,target,models,lag_window,epochs,patience,max_train_rows,max_test_rows,best_pipeline,best_model_c_rmse,best_model_c_dir_acc,run_report_csv,run_report_md,run_report_json,note,timestamp_utc
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_200000__te_80000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,150,10,200000,80000,finbert,0.0203878372048968,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_200000__te_80000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_200000__te_80000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_200000__te_80000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_200000__te_80000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_200000__te_80000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_200000__te_80000\comparison.json",2026-04-13T05:37:06.055775Z
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,120,5,180000,70000,finbert,0.0203879790978675,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.json",2026-04-13T05:42:28.427158+00:00
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,120,5,180000,100000,finbert,0.0203879790978675,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.json",2026-04-13T05:47:35.969392+00:00
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,120,5,260000,70000,finbert,0.0203876257963715,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.json",2026-04-13T05:53:12.950771+00:00
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,120,5,260000,100000,finbert,0.0203876257963715,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.json",2026-04-13T05:58:40.502444+00:00
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,120,10,180000,70000,finbert,0.0203879790978675,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.json",2026-04-13T06:03:43.373788+00:00
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,120,10,180000,100000,finbert,0.0203879790978675,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.json",2026-04-13T06:08:36.408310+00:00
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,120,10,260000,70000,finbert,0.0203876257963715,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.json",2026-04-13T06:14:11.860839+00:00
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,120,10,260000,100000,finbert,0.0203876257963715,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.json",2026-04-13T06:21:08.470759+00:00
target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000,ok,target_h1,"elastic_net,ridge,hist_gbr",0,120,20,180000,70000,finbert,0.0203879790978675,0.5125385771729373,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h1\target_h1__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.json",2026-04-13T06:26:28.545678+00:00
